Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-ck1c,randomiser-8rl3,branch-tpdd,branch-qy9p,Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: number,Spreadsheet: img,Spreadsheet: type,Spreadsheet: mem_type,Spreadsheet: answer,Spreadsheet: border,Spreadsheet: memory,Manipulation: Spreadsheet
1,1729002428468,15/10/2024 14:27:08,1728988028468,-4,15/10/2024 06:27:08,187004,3,task-o5xt,repeat-3dmk#2->-repeat-ku6w#5,40656244,BLIND,11852251,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,2560x1440,2560x1313,,,0,Subjective rating task (Clone),5,Inaccurate~Accurate,1,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,,emo_1_try,emo_1_try,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,,
2,1729002434156,15/10/2024 14:27:14,1728988034156,-4,15/10/2024 06:27:14,187004,3,task-o5xt,repeat-3dmk#2->-repeat-ku6w#5,40656244,BLIND,11852251,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,2560x1440,2560x1313,,,0,Subjective rating task (Clone),5,Inaccurate~Accurate,1,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,,emo_1_try,emo_1_try,1,instructions,Screen 5,e3ks8t,1,continue,,5697.98,5691.08,5697.98,5697.98,5691.08,5697.98,1,5697.98,0,0,,Click To Continue,Continue Button,2,object-68,instructions,,,,,,,,
3,1729002437154,15/10/2024 14:27:17,1728988037154,-4,15/10/2024 06:27:17,187004,3,task-o5xt,repeat-3dmk#2->-repeat-ku6w#5,40656244,BLIND,11852251,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,2560x1440,2560x1313,,,0,Subjective rating task (Clone),5,Inaccurate~Accurate,1,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,,emo_1_try,emo_1_try,1,instructions,Screen 6,yf7ssf,2,timedOut,,3004.699999952316,3003.8999999999996,3004.699999952316,3004.699999952316,3003.8999999999996,3004.699999952316,1,3004.699999952316,0,0,,Time Limit,screen,0,screen,instructions,,,,,,,,
4,1729002437166,15/10/2024 14:27:17,1728988037166,-4,15/10/2024 06:27:17,187004,3,task-o5xt,repeat-3dmk#2->-repeat-ku6w#5,40656244,BLIND,11852251,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,2560x1440,2560x1313,,,0,Subjective rating task (Clone),5,Inaccurate~Accurate,1,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,,emo_1_try,emo_1_try,1,image,Screen 1,l8m57c,1,info,,12.900000095367432,0,12.900000095367432,12.900000095367432,0,12.900000095367432,1,12.900000095367432,0,0,,Slider,Slider,4,object-51,image,2071,3ed4c65eb4ba874e455ada92d56a3ff9.jpg,target,,J,,target,
5,1729002441236,15/10/2024 14:27:21,1728988041236,-4,15/10/2024 06:27:21,187004,3,task-o5xt,repeat-3dmk#2->-repeat-ku6w#5,40656244,BLIND,11852251,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,2560x1440,2560x1313,,,0,Subjective rating task (Clone),5,Inaccurate~Accurate,1,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,,emo_1_try,emo_1_try,1,image,Screen 1,l8m57c,1,continue,,4082.7999999523163,4072.5999999999985,4082.7999999523163,4082.7999999523163,4072.5999999999985,4082.7999999523163,1,4082.7999999523163,0,0,,Click To Continue,Continue Button,7,object-69,image,2071,3ed4c65eb4ba874e455ada92d56a3ff9.jpg,target,,J,,target,
6,1729002441238,15/10/2024 14:27:21,1728988041238,-4,15/10/2024 06:27:21,187004,3,task-o5xt,repeat-3dmk#2->-repeat-ku6w#5,40656244,BLIND,11852251,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,2560x1440,2560x1313,,,0,Subjective rating task (Clone),5,Inaccurate~Accurate,1,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,,emo_1_try,emo_1_try,1,image,Screen 1,l8m57c,1,response,5,2149.7999999999993,4072.5999999999985,4084.7000000476837,2149.7999999999993,4072.5999999999985,4084.7000000476837,1,2149.7999999999993,1934.9000000476844,0,,Slider,Slider,4,object-51,image,2071,3ed4c65eb4ba874e455ada92d56a3ff9.jpg,target,,J,,target,
7,1729002441243,15/10/2024 14:27:21,1728988041243,-4,15/10/2024 06:27:21,187004,3,task-o5xt,repeat-3dmk#2->-repeat-ku6w#5,40656244,BLIND,11852251,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,2560x1440,2560x1313,,,0,Subjective rating task (Clone),5,Inaccurate~Accurate,1,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,,emo_1_try,emo_1_try,1,image,Screen 2,7vpf45,2,info,,13.299999999999272,0,13.299999999999272,13.299999999999272,0,13.299999999999272,1,13.299999999999272,0,0,,Slider,Slider,4,object-78,image,2071,3ed4c65eb4ba874e455ada92d56a3ff9.jpg,target,,J,,target,
8,1729002444860,15/10/2024 14:27:24,1728988044860,-4,15/10/2024 06:27:24,187004,3,task-o5xt,repeat-3dmk#2->-repeat-ku6w#5,40656244,BLIND,11852251,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,2560x1440,2560x1313,,,0,Subjective rating task (Clone),5,Inaccurate~Accurate,1,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,,emo_1_try,emo_1_try,1,image,Screen 2,7vpf45,2,continue,,3633.999999904634,3631.800000000003,3633.999999904634,3633.999999904634,3631.800000000003,3633.999999904634,1,3633.999999904634,0,0,,Click To Continue,Continue Button,7,object-82,image,2071,3ed4c65eb4ba874e455ada92d56a3ff9.jpg,target,,J,,target,
9,1729002444860,15/10/2024 14:27:24,1728988044860,-4,15/10/2024 06:27:24,187004,3,task-o5xt,repeat-3dmk#2->-repeat-ku6w#5,40656244,BLIND,11852251,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,2560x1440,2560x1313,,,0,Subjective rating task (Clone),5,Inaccurate~Accurate,1,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,,emo_1_try,emo_1_try,1,image,Screen 2,7vpf45,2,response,3,1468.7000000000007,3631.800000000003,3634.300000095369,1468.7000000000007,3631.800000000003,3634.300000095369,1,1468.7000000000007,2165.600000095368,0,,Slider,Slider,4,object-78,image,2071,3ed4c65eb4ba874e455ada92d56a3ff9.jpg,target,,J,,target,
10,1729002444868,15/10/2024 14:27:24,1728988044868,-4,15/10/2024 06:27:24,187004,3,task-o5xt,repeat-3dmk#2->-repeat-ku6w#5,40656244,BLIND,11852251,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,2560x1440,2560x1313,,,0,Subjective rating task (Clone),5,Inaccurate~Accurate,1,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,,emo_1_try,emo_1_try,2,image,Screen 1,l8m57c,1,info,,10.199999904631113,0,10.199999904631113,10.199999904631113,0,10.199999904631113,1,10.199999904631113,0,0,,Slider,Slider,4,object-51,image,279,7a8791914e3ca49c66c1d6907761707b.jpg,target,,F,,filler,
11,1729002447965,15/10/2024 14:27:27,1728988047965,-4,15/10/2024 06:27:27,187004,3,task-o5xt,repeat-3dmk#2->-repeat-ku6w#5,40656244,BLIND,11852251,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,2560x1440,2560x1313,,,0,Subjective rating task (Clone),5,Inaccurate~Accurate,1,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,,emo_1_try,emo_1_try,2,image,Screen 1,l8m57c,1,continue,,3107.0999999999985,3097.7999999999993,3107.0999999999985,3107.0999999999985,3097.7999999999993,3107.0999999999985,1,3107.0999999999985,0,0,,Click To Continue,Continue Button,7,object-69,image,279,7a8791914e3ca49c66c1d6907761707b.jpg,target,,F,,filler,
12,1729002447965,15/10/2024 14:27:27,1728988047965,-4,15/10/2024 06:27:27,187004,3,task-o5xt,repeat-3dmk#2->-repeat-ku6w#5,40656244,BLIND,11852251,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,2560x1440,2560x1313,,,0,Subjective rating task (Clone),5,Inaccurate~Accurate,1,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,,emo_1_try,emo_1_try,2,image,Screen 1,l8m57c,1,response,5,1829.2999999999993,3097.7999999999993,3107.3000000476823,1829.2999999999993,3097.7999999999993,3107.3000000476823,1,1829.2999999999993,1278.000000047683,0,,Slider,Slider,4,object-51,image,279,7a8791914e3ca49c66c1d6907761707b.jpg,target,,F,,filler,
13,1729002447968,15/10/2024 14:27:27,1728988047968,-4,15/10/2024 06:27:27,187004,3,task-o5xt,repeat-3dmk#2->-repeat-ku6w#5,40656244,BLIND,11852251,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,2560x1440,2560x1313,,,0,Subjective rating task (Clone),5,Inaccurate~Accurate,1,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,,emo_1_try,emo_1_try,2,image,Screen 2,7vpf45,2,info,,12.799999999999272,0,12.799999999999272,12.799999999999272,0,12.799999999999272,1,12.799999999999272,0,0,,Slider,Slider,4,object-78,image,279,7a8791914e3ca49c66c1d6907761707b.jpg,target,,F,,filler,
14,1729002450461,15/10/2024 14:27:30,1728988050461,-4,15/10/2024 06:27:30,187004,3,task-o5xt,repeat-3dmk#2->-repeat-ku6w#5,40656244,BLIND,11852251,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,2560x1440,2560x1313,,,0,Subjective rating task (Clone),5,Inaccurate~Accurate,1,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,,emo_1_try,emo_1_try,2,image,Screen 2,7vpf45,2,continue,,2505.7000000953667,2496.7999999999993,2505.7000000953667,2505.7000000953667,2496.7999999999993,2505.7000000953667,1,2505.7000000953667,0,0,,Click To Continue,Continue Button,7,object-82,image,279,7a8791914e3ca49c66c1d6907761707b.jpg,target,,F,,filler,
15,1729002450461,15/10/2024 14:27:30,1728988050461,-4,15/10/2024 06:27:30,187004,3,task-o5xt,repeat-3dmk#2->-repeat-ku6w#5,40656244,BLIND,11852251,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,2560x1440,2560x1313,,,0,Subjective rating task (Clone),5,Inaccurate~Accurate,1,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,,emo_1_try,emo_1_try,2,image,Screen 2,7vpf45,2,response,4,1054.8999999999978,2496.7999999999993,2506.000000047683,1054.8999999999978,2496.7999999999993,2506.000000047683,1,1054.8999999999978,1451.1000000476852,0,,Slider,Slider,4,object-78,image,279,7a8791914e3ca49c66c1d6907761707b.jpg,target,,F,,filler,
16,1729002450469,15/10/2024 14:27:30,1728988050469,-4,15/10/2024 06:27:30,187004,3,task-o5xt,repeat-3dmk#2->-repeat-ku6w#5,40656244,BLIND,11852251,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,2560x1440,2560x1313,,,0,Subjective rating task (Clone),5,Inaccurate~Accurate,1,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,,emo_1_try,emo_1_try,3,image,Screen 1,l8m57c,1,info,,13.200000000000728,0,13.200000000000728,13.200000000000728,0,13.200000000000728,1,13.200000000000728,0,0,,Slider,Slider,4,object-51,image,344,3b801dce0def3b08832596e9d9c49581.jpg,target,,J,,target,
17,1729002453364,15/10/2024 14:27:33,1728988053364,-4,15/10/2024 06:27:33,187004,3,task-o5xt,repeat-3dmk#2->-repeat-ku6w#5,40656244,BLIND,11852251,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,2560x1440,2560x1313,,,0,Subjective rating task (Clone),5,Inaccurate~Accurate,1,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,,emo_1_try,emo_1_try,3,image,Screen 1,l8m57c,1,continue,,2912,2910.9000000000015,2912,2912,2910.9000000000015,2912,1,2912,0,0,,Click To Continue,Continue Button,7,object-69,image,344,3b801dce0def3b08832596e9d9c49581.jpg,target,,J,,target,
