Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-ck1c,randomiser-8rl3,branch-tpdd,branch-qy9p,Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: number,Spreadsheet: img,Spreadsheet: type,Spreadsheet: mem_type,Spreadsheet: answer,Spreadsheet: border,Spreadsheet: memory,Manipulation: Spreadsheet
1,1729007737242,15/10/2024 15:55:37,1728993337242,-4,15/10/2024 07:55:37,187004,3,task-e25r,repeat-3dmk#4->-repeat-tj2w#2,40662357,BLIND,11852361,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1536x864,1536x738,,,0,Subjective rating task (Clone),5,Inaccurate~Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Accurate,emo_2_try,emo_2_try,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,,
2,1729007739427,15/10/2024 15:55:39,1728993339427,-4,15/10/2024 07:55:39,187004,3,task-e25r,repeat-3dmk#4->-repeat-tj2w#2,40662357,BLIND,11852361,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1536x864,1536x738,,,0,Subjective rating task (Clone),5,Inaccurate~Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Accurate,emo_2_try,emo_2_try,1,instructions,Screen 5,e3ks8t,1,continue,,2222.414000023842,2213.6140000000005,2222.414000023842,2222.414000023842,2213.6140000000005,2222.414000023842,1,2222.414000023842,0,0,,Click To Continue,Continue Button,2,object-68,instructions,,,,,,,,
3,1729007742417,15/10/2024 15:55:42,1728993342417,-4,15/10/2024 07:55:42,187004,3,task-e25r,repeat-3dmk#4->-repeat-tj2w#2,40662357,BLIND,11852361,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1536x864,1536x738,,,0,Subjective rating task (Clone),5,Inaccurate~Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Accurate,emo_2_try,emo_2_try,1,instructions,Screen 6,yf7ssf,2,timedOut,,2999.099999976158,2997.3,2999.099999976158,2999.099999976158,2997.3,2999.099999976158,1,2999.099999976158,0,0,,Time Limit,screen,0,screen,instructions,,,,,,,,
4,1729007742453,15/10/2024 15:55:42,1728993342453,-4,15/10/2024 07:55:42,187004,3,task-e25r,repeat-3dmk#4->-repeat-tj2w#2,40662357,BLIND,11852361,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1536x864,1536x738,,,0,Subjective rating task (Clone),5,Inaccurate~Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Accurate,emo_2_try,emo_2_try,1,image,Screen 1,l8m57c,1,info,,16.600000000000364,0,16.600000000000364,16.600000000000364,0,16.600000000000364,1,16.600000000000364,0,0,,Slider,Slider,4,object-51,image,263,a3c07962576e26bf069a586249b4729d.jpg,target,,J,,filler,
5,1729007750638,15/10/2024 15:55:50,1728993350638,-4,15/10/2024 07:55:50,187004,3,task-e25r,repeat-3dmk#4->-repeat-tj2w#2,40662357,BLIND,11852361,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1536x864,1536x738,,,0,Subjective rating task (Clone),5,Inaccurate~Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Accurate,emo_2_try,emo_2_try,1,image,Screen 1,l8m57c,1,continue,,8222.70000001192,8209,8222.70000001192,8222.70000001192,8209,8222.70000001192,1,8222.70000001192,0,0,,Click To Continue,Continue Button,7,object-69,image,263,a3c07962576e26bf069a586249b4729d.jpg,target,,J,,filler,
6,1729007750651,15/10/2024 15:55:50,1728993350651,-4,15/10/2024 07:55:50,187004,3,task-e25r,repeat-3dmk#4->-repeat-tj2w#2,40662357,BLIND,11852361,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1536x864,1536x738,,,0,Subjective rating task (Clone),5,Inaccurate~Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Accurate,emo_2_try,emo_2_try,1,image,Screen 1,l8m57c,1,response,4,3912.7999999999993,8209,8225.5,3912.7999999999993,8209,8225.5,1,3912.7999999999993,4312.700000000001,0,,Slider,Slider,4,object-51,image,263,a3c07962576e26bf069a586249b4729d.jpg,target,,J,,filler,
7,1729007750666,15/10/2024 15:55:50,1728993350666,-4,15/10/2024 07:55:50,187004,3,task-e25r,repeat-3dmk#4->-repeat-tj2w#2,40662357,BLIND,11852361,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1536x864,1536x738,,,0,Subjective rating task (Clone),5,Inaccurate~Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Accurate,emo_2_try,emo_2_try,1,image,Screen 2,7vpf45,2,info,,16.5,0,16.5,16.5,0,16.5,1,16.5,0,0,,Slider,Slider,4,object-78,image,263,a3c07962576e26bf069a586249b4729d.jpg,target,,J,,filler,
8,1729007753758,15/10/2024 15:55:53,1728993353758,-4,15/10/2024 07:55:53,187004,3,task-e25r,repeat-3dmk#4->-repeat-tj2w#2,40662357,BLIND,11852361,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1536x864,1536x738,,,0,Subjective rating task (Clone),5,Inaccurate~Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Accurate,emo_2_try,emo_2_try,1,image,Screen 2,7vpf45,2,continue,,3134.2000000119206,3130.199999999999,3134.2000000119206,3134.2000000119206,3130.199999999999,3134.2000000119206,1,3134.2000000119206,0,0,,Click To Continue,Continue Button,7,object-82,image,263,a3c07962576e26bf069a586249b4729d.jpg,target,,J,,filler,
9,1729007753760,15/10/2024 15:55:53,1728993353760,-4,15/10/2024 07:55:53,187004,3,task-e25r,repeat-3dmk#4->-repeat-tj2w#2,40662357,BLIND,11852361,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1536x864,1536x738,,,0,Subjective rating task (Clone),5,Inaccurate~Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Accurate,emo_2_try,emo_2_try,1,image,Screen 2,7vpf45,2,response,4,1831.699999999999,3130.199999999999,3135.5000000238415,1831.699999999999,3130.199999999999,3135.5000000238415,1,1831.699999999999,1303.8000000238426,0,,Slider,Slider,4,object-78,image,263,a3c07962576e26bf069a586249b4729d.jpg,target,,J,,filler,
10,1729007753795,15/10/2024 15:55:53,1728993353795,-4,15/10/2024 07:55:53,187004,3,task-e25r,repeat-3dmk#4->-repeat-tj2w#2,40662357,BLIND,11852361,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1536x864,1536x738,,,0,Subjective rating task (Clone),5,Inaccurate~Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Accurate,emo_2_try,emo_2_try,2,image,Screen 1,l8m57c,1,info,,16.5,0,16.5,16.5,0,16.5,1,16.5,0,0,,Slider,Slider,4,object-51,image,63,fed68ff713db60eac84b65889ac38028.jpg,target,,J,,filler,
