Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-ck1c,randomiser-8rl3,branch-tpdd,branch-qy9p,branch-phuz,branch-3j3b,Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: type,Spreadsheet: answer,Spreadsheet: memory,Spreadsheet: randomise,Spreadsheet: img,Manipulation: Spreadsheet
1,1737475221978,21/01/2025 16:00:21,1737457221978,-5,21/01/2025 06:00:21,153647,19,task-e25r,repeat-3dmk#2->-repeat-tj2w#3->-repeat-bh4w#2,42630920,BLIND,12435175,,complete,,678fbd94798f300a6b69ccfc,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1920x1080,1920x945,,,0,Subjective rating task (Clone),7,Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,,Inaccurate~Accurate,emo_balanced2,emo_balanced2,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,,,,,
2,1737475224445,21/01/2025 16:00:24,1737457224445,-5,21/01/2025 06:00:24,153647,19,task-e25r,repeat-3dmk#2->-repeat-tj2w#3->-repeat-bh4w#2,42630920,BLIND,12435175,,complete,,678fbd94798f300a6b69ccfc,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1920x1080,1920x945,,,0,Subjective rating task (Clone),7,Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,,Inaccurate~Accurate,emo_balanced2,emo_balanced2,1,instructions,Screen 5,e3ks8t,1,continue,,2506.8679999999995,2490.068,2506.8679999999995,2506.8679999999995,2490.068,2506.8679999999995,1,2506.8679999999995,0,0,,Click To Continue,Continue Button,2,object-68,instructions,,,,,,
3,1737475227423,21/01/2025 16:00:27,1737457227423,-5,21/01/2025 06:00:27,153647,19,task-e25r,repeat-3dmk#2->-repeat-tj2w#3->-repeat-bh4w#2,42630920,BLIND,12435175,,complete,,678fbd94798f300a6b69ccfc,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1920x1080,1920x945,,,0,Subjective rating task (Clone),7,Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,,Inaccurate~Accurate,emo_balanced2,emo_balanced2,1,instructions,Screen 6,yf7ssf,2,timedOut,,2999.100000023842,2998.2000000000007,2999.100000023842,2999.100000023842,2998.2000000000007,2999.100000023842,1,2999.100000023842,0,0,,Time Limit,screen,0,screen,instructions,,,,,,
4,1737475227462,21/01/2025 16:00:27,1737457227462,-5,21/01/2025 06:00:27,153647,19,task-e25r,repeat-3dmk#2->-repeat-tj2w#3->-repeat-bh4w#2,42630920,BLIND,12435175,,complete,,678fbd94798f300a6b69ccfc,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1920x1080,1920x945,,,0,Subjective rating task (Clone),7,Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,,Inaccurate~Accurate,emo_balanced2,emo_balanced2,1,image,Screen 1,l8m57c,1,info,,16.600000000000364,0,16.600000000000364,16.600000000000364,0,16.600000000000364,1,16.600000000000364,0,0,,Slider,Slider,4,object-51,image,target,F,filler,1,Pollution 1.jpg,
5,1737475232617,21/01/2025 16:00:32,1737457232617,-5,21/01/2025 06:00:32,153647,19,task-e25r,repeat-3dmk#2->-repeat-tj2w#3->-repeat-bh4w#2,42630920,BLIND,12435175,,complete,,678fbd94798f300a6b69ccfc,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1920x1080,1920x945,,,0,Subjective rating task (Clone),7,Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,,Inaccurate~Accurate,emo_balanced2,emo_balanced2,1,image,Screen 1,l8m57c,1,continue,,5194.199999976157,5180.5999999999985,5194.199999976157,5194.199999976157,5180.5999999999985,5194.199999976157,1,5194.199999976157,0,0,,Click To Continue,Continue Button,7,object-69,image,target,F,filler,1,Pollution 1.jpg,
6,1737475232634,21/01/2025 16:00:32,1737457232634,-5,21/01/2025 06:00:32,153647,19,task-e25r,repeat-3dmk#2->-repeat-tj2w#3->-repeat-bh4w#2,42630920,BLIND,12435175,,complete,,678fbd94798f300a6b69ccfc,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1920x1080,1920x945,,,0,Subjective rating task (Clone),7,Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,,Inaccurate~Accurate,emo_balanced2,emo_balanced2,1,image,Screen 1,l8m57c,1,response,1,4131.200000000001,5180.5999999999985,5197.399999999998,4131.200000000001,5180.5999999999985,5197.399999999998,1,4131.200000000001,1066.199999999997,0,,Slider,Slider,4,object-51,image,target,F,filler,1,Pollution 1.jpg,
7,1737475232651,21/01/2025 16:00:32,1737457232651,-5,21/01/2025 06:00:32,153647,19,task-e25r,repeat-3dmk#2->-repeat-tj2w#3->-repeat-bh4w#2,42630920,BLIND,12435175,,complete,,678fbd94798f300a6b69ccfc,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1920x1080,1920x945,,,0,Subjective rating task (Clone),7,Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,,Inaccurate~Accurate,emo_balanced2,emo_balanced2,1,image,Screen 2,7vpf45,2,info,,16.799999999999272,0,16.799999999999272,16.799999999999272,0,16.799999999999272,1,16.799999999999272,0,0,,Slider,Slider,4,object-78,image,target,F,filler,1,Pollution 1.jpg,
8,1737475240539,21/01/2025 16:00:40,1737457240539,-5,21/01/2025 06:00:40,153647,19,task-e25r,repeat-3dmk#2->-repeat-tj2w#3->-repeat-bh4w#2,42630920,BLIND,12435175,,complete,,678fbd94798f300a6b69ccfc,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1920x1080,1920x945,,,0,Subjective rating task (Clone),7,Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,,Inaccurate~Accurate,emo_balanced2,emo_balanced2,1,image,Screen 2,7vpf45,2,continue,,7935.800000023843,7929,7935.800000023843,7935.800000023843,7929,7935.800000023843,1,7935.800000023843,0,0,,Click To Continue,Continue Button,7,object-82,image,target,F,filler,1,Pollution 1.jpg,
9,1737475240540,21/01/2025 16:00:40,1737457240540,-5,21/01/2025 06:00:40,153647,19,task-e25r,repeat-3dmk#2->-repeat-tj2w#3->-repeat-bh4w#2,42630920,BLIND,12435175,,complete,,678fbd94798f300a6b69ccfc,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1920x1080,1920x945,,,0,Subjective rating task (Clone),7,Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,,Inaccurate~Accurate,emo_balanced2,emo_balanced2,1,image,Screen 2,7vpf45,2,response,9,6613.100000000002,7929,7936.700000000001,6613.100000000002,7929,7936.700000000001,1,6613.100000000002,1323.5999999999985,0,,Slider,Slider,4,object-78,image,target,F,filler,1,Pollution 1.jpg,
10,1737475240582,21/01/2025 16:00:40,1737457240582,-5,21/01/2025 06:00:40,153647,19,task-e25r,repeat-3dmk#2->-repeat-tj2w#3->-repeat-bh4w#2,42630920,BLIND,12435175,,complete,,678fbd94798f300a6b69ccfc,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1920x1080,1920x945,,,0,Subjective rating task (Clone),7,Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,,Inaccurate~Accurate,emo_balanced2,emo_balanced2,2,image,Screen 1,l8m57c,1,info,,16.700000000000728,0,16.700000000000728,16.700000000000728,0,16.700000000000728,1,16.700000000000728,0,0,,Slider,Slider,4,object-51,image,target,F,target,1,5f1de49bddc9d70f9816b42d3146d343.jpg,
